01. 🙏 @ Nam-mô tát đát tha # 如來 | Tathāgata | तथागत — Trở về với Như Lai là trở về chân tâm: rỗng rang mà sáng, thương khắp chúng sinh.
157. 🙏 Tô ma lô ba # 清涼 | Śītala | शीतल — Tô ma lô ba là lời trở về: bỏ tà ma trong tâm, nuôi ánh sáng cho mình và người.
158. Ma ha thuế đa # 大白 | Mahāśveta | महाश्वेत — Ma ha thuế đa là tâm nguyện cứu khổ: thấy người chìm thì học cách đưa tay ra.
159. A rị da đa ra # 聖者 | Ārya | आर्य — A rị da đa ra gợi lời Lăng Nghiêm: phản văn văn tự tánh, quay lại nghe nơi tâm bất diệt.
160. Ma ha bà ra a bác ra # 大力 | Mahābala | महाबल — Ma ha bà ra a bác ra nhắc tôi thấy các pháp như huyễn, buông chấp để trở về chân tâm.
161. Bạt xà ra thương yết ra chế bà # 金剛鎧 | Vajra-kavaca | वज्र-कवच — Bạt xà ra thương yết ra chế bà nhắc tôi dựng ranh giới thiện lành, bảo hộ chân tâm khỏi tham sân si.
162. Bạt xà ra câu ma rị # 金剛女 | Vajra-kumārī | वज्र-कुमारी — Bạt xà ra câu ma rị nhắc tôi dựng ranh giới thiện lành, bảo hộ chân tâm khỏi tham sân si.
163. Câu lam đà rị # 持地 | Dharaṇī-dhāra | धरणी-धार — Câu lam đà rị nhắc tôi dựng ranh giới thiện lành, bảo hộ chân tâm khỏi tham sân si.
164. Bạt xà ra hắt tát đa giá # 金剛手 | Vajrapāṇi | वज्रपाणि — Bạt xà ra hắt tát đa giá là áo giáp của người tu: mềm lòng với chúng sinh, cứng rắn với tà niệm.
165. Tỳ địa da # 智慧 | Vidyā | विद्या — Tỳ địa da là ngọn đèn giúp tôi phân biệt chánh tà mà không sinh kiêu mạn.
166. Kiền dá na # 香 | Gandha | गन्ध — Kiền dá na đưa tâm trở về chỗ lặng; thấy khổ mà không ghét đời, thấy người mà khởi thương.
167. Ma rị ca # 花 | Puṣpa | पुष्प — Ma rị ca là một bước tu học: phá mê, lìa tà, giữ giới và yêu thương chúng sinh.
168. Khuất tô mẫu # 乳 | Kṣīra | क्षीर — Khuất tô mẫu nhắc tôi thấy các pháp như huyễn, buông chấp để trở về chân tâm.
169. 🙏 Bà yết ra đá na # 守護 | Rakṣā | रक्षा — Bà yết ra đá na dạy tôi hộ trì pháp trong từng ý nghĩ, từng lời nói và từng việc nhỏ.
170. Bệ lô giá na # 毘盧佛 | Vairocana | वैरोचन — Bệ lô giá na giúp tôi quay về tánh biết sáng suốt, thương chúng sinh mà không vướng ngã.
171. Câu rị da # 行 | Caryā | चर्या — Câu rị da nhắc tôi thấy các pháp như huyễn, buông chấp để trở về chân tâm.
172. Dạ ra thố # 夜行 | Rātricaryā | रात्रिचर्या — Dạ ra thố là lời nhắc: kiến tánh không sinh diệt, phiền não chỉ là mây qua trời.
173. Sắc ni sam # 頂相 | Uṣṇīṣa | उष्णीष — Sắc ni sam dạy tôi học đạo bằng tâm rỗng rang: không giữ tà niệm, không bỏ lòng từ.
174. Tỳ chiếc lam bà ma ni giá. # 如意寶 | Cintāmaṇi | चिन्तामणि — Tỳ chiếc lam bà ma ni giá dạy tôi lấy tính không làm nền, lấy từ bi làm đường, lấy tu học làm hơi thở.
175. Bạt xà ra ca na ca ba ra bà. # 金剛寶 | Vajraratna | वज्ररत्न — Bạt xà ra ca na ca ba ra bà giữ cửa sáu căn, để nghe thấy đều trở về tánh biết bất động.
176. Lồ xà na # 盧舍那 | Rocana | रोचन — Lồ xà na nhắc rằng mọi cảnh đều vô thường, chỉ tâm giác biết cần được nuôi lớn.
177. Bạt xà ra đốn trỉ giá # 金剛幢 | Vajradhvaja | वज्रध्वज — Bạt xà ra đốn trỉ giá là áo giáp của người tu: mềm lòng với chúng sinh, cứng rắn với tà niệm.
178. Thuế đa giá # 白色 | Śveta | श्वेत — Thuế đa giá dạy tôi lấy tính không làm nền, lấy từ bi làm đường, lấy tu học làm hơi thở.
179. Ca ma ra # 行 | Caryā | चर्या — Ca ma ra nhắc tôi đừng chạy theo bóng cảnh, hãy nhận lại tánh thấy chưa từng mất.
180. Sát sa thi # 剎那 | Kṣaṇa | क्षण — Sát sa thi nhắc tôi thấy các pháp như huyễn, buông chấp để trở về chân tâm.
181. 🙏 Ba ra bà. # 圓滿 | Paripūrṇa | परिपूर्ण — Ba ra bà dạy tôi lấy tính không làm nền, lấy từ bi làm đường, lấy tu học làm hơi thở.
182. Ế đế di đế # 真實 | Tattva | तत्त्व — Ế đế di đế đưa tâm vào cửa tính không: không chấp thân, không chấp cảnh, không bỏ từ bi.
183. Mẫu đà ra # 印 | Mudrā | मुद्रा — Mẫu đà ra giúp tôi quay về tánh biết sáng suốt, thương chúng sinh mà không vướng ngã.
184. Yết noa. # 結 | Bandha | बन्ध — Yết noa là lời nhắc: kiến tánh không sinh diệt, phiền não chỉ là mây qua trời.
185. Ta bệ ra sám # 懺悔 | Kṣamā | क्षमा — Ta bệ ra sám nhắc tôi đừng chạy theo bóng cảnh, hãy nhận lại tánh thấy chưa từng mất.
186. Quật phạm đô # 除障 | Vighna-nivāraṇa | विघ्न-निवारण — Quật phạm đô là lời trở về: bỏ tà ma trong tâm, nuôi ánh sáng cho mình và người.
187. Ấn thố na mạ mạ tỏa. # 成就 | Siddhi | सिद्धि — Ấn thố na mạ mạ tỏa đưa tâm trở về chỗ lặng; thấy khổ mà không ghét đời, thấy người mà khởi thương.
188. @@ Ô hồng # 唵 | Oṃ | ओं — Án mở cửa tu học: một niệm quay về thì tà ma mất chỗ nương.
189. Rị sắc yết noa # 降伏 | Abhibhava | अभिभव — Rị sắc yết noa dạy tôi hàng phục sân hận, tiêu diệt bóng tối bằng ánh sáng tu học.
190. Bác lặc xá tất đa # 破障 | Vighna-bheda | विघ्न-भेद — Bác lặc xá tất đa là tiếng chuông cắt đứt tà kiến, đưa tâm về đường thẳng của chánh pháp.
191. Tát đác tha # 真實 | Tattva | तत्त्व — Tát đác tha đưa tâm vào cửa tính không: không chấp thân, không chấp cảnh, không bỏ từ bi.
192. Già đô sắc ni sam # 佛頂 | Buddhoṣṇīṣa | बुद्धोष्णीष — Già đô sắc ni sam dạy tôi lấy tính không làm nền, lấy từ bi làm đường, lấy tu học làm hơi thở.
193. 🙏 Hổ hồng đô lô ung # 威攝 | Ākarṣaṇa | आकर्षण — Hổ hồng đô lô ung là kết giới nơi tâm: tà ma không vào được khi chánh niệm còn sáng.
194. Chiêm bà na # 制伏 | Nigraha | निग्रह — Chiêm bà na là phá tà nơi chính tâm: ma ngoài không đáng sợ bằng mê chấp bên trong.
195. Hổ hồng đô lô ung # 威攝 | Ākarṣaṇa | आकर्षण — Hổ hồng đô lô ung giữ cửa sáu căn, để nghe thấy đều trở về tánh biết bất động.
196. Tất đam bà na # 安定 | Sthiratā | स्थिरता — Tất đam bà na dạy tôi lấy tính không làm nền, lấy từ bi làm đường, lấy tu học làm hơi thở.
197. Hổ hồng đô lô ung # 威攝 | Ākarṣaṇa | आकर्षण — Hổ hồng đô lô ung dạy tôi hộ trì pháp trong từng ý nghĩ, từng lời nói và từng việc nhỏ.
198. Ba ra sắc địa da # 成就 | Siddhi | सिद्धि — Ba ra sắc địa da nhắc rằng mọi cảnh đều vô thường, chỉ tâm giác biết cần được nuôi lớn.
199. Tam bác xoa # 三界 | Triloka | त्रिलोक — Tam bác xoa nhắc tôi thấy các pháp như huyễn, buông chấp để trở về chân tâm.
200. Noa yết ra # 城護 | Nagara-rakṣā | नगर-रक्षा — Noa yết ra là kết giới nơi tâm: tà ma không vào được khi chánh niệm còn sáng.
201. Hổ hồng đô lô ung # 威攝 | Ākarṣaṇa | आकर्षण — Hổ hồng đô lô ung là một cánh sen pháp: mọc giữa bùn khổ mà vẫn hướng mặt trời.
202. Tát bà dược xoa # 一切藥叉 | Sarva-yakṣa | सर्व-यक्ष — Tát bà dược xoa nhắc tôi đừng chạy theo bóng cảnh, hãy nhận lại tánh thấy chưa từng mất.
203. Hắt ra sát ta # 夜叉 | Yakṣa | यक्ष — Hắt ra sát ta nhắc tôi tồi phá ác niệm, nhưng vẫn giữ lòng thương với chúng sinh đang mê.
204. Yết ra ha nhã xà # 鬼王 | Bhūtarāja | भूतराज — Yết ra ha nhã xà là phá tà nơi chính tâm: ma ngoài không đáng sợ bằng mê chấp bên trong.
205. 🙏 Tỳ đằng băng tát na yết ra # 摧破 | Bheda | भेद — Tỳ đằng băng tát na yết ra nhắc tôi tồi phá ác niệm, nhưng vẫn giữ lòng thương với chúng sinh đang mê.
206. Hổ hồng đô lô ung # 威攝 | Ākarṣaṇa | आकर्षण — Hổ hồng đô lô ung là áo giáp của người tu: mềm lòng với chúng sinh, cứng rắn với tà niệm.
207. Giả đô ra # 堅固 | Dṛḍha | दृढ — Giả đô ra đưa tâm trở về chỗ lặng; thấy khổ mà không ghét đời, thấy người mà khởi thương.
208. Thi để nẩm # 真諦 | Paramārtha | परमार्थ — Thi để nẩm dạy tôi phá vô minh bằng học pháp, quán chiếu và thương người trong mê.
209. Yết ra ha # 攝持 | Grahaṇa | ग्रहण — Yết ra ha là áo giáp của người tu: mềm lòng với chúng sinh, cứng rắn với tà niệm.
210. Ta ha tát ra nẩm # 千數 | Sahasra | सहस्र — Ta ha tát ra nẩm đưa tâm trở về chỗ lặng; thấy khổ mà không ghét đời, thấy người mà khởi thương.
211. Tỳ đằng băng tát na ra # 摧伏 | Abhibhava | अभिभव — Tồi phục là làm yếu gốc sợ hãi bằng tánh thấy bất diệt.
212. Hổ hồng đô lô ung # 威攝 | Ākarṣaṇa | आकर्षण — Hổ hồng đô lô ung nhắc tôi theo Lăng Nghiêm giữ sáu căn thanh tịnh, không để tà cảnh dẫn đi.
213. Ra xoa # 羅剎 | Rākṣasa | राक्षस — Ra xoa phá ma mà không nuôi hận; chỉ trả tâm về trong sạch và tỉnh thức.
214. Bà già phạm # 世尊 | Bhagavān | भगवान् — Bà già phạm là một bước tu học: phá mê, lìa tà, giữ giới và yêu thương chúng sinh.
215. Tát đác tha # 真實 | Tattva | तत्त्व — Tát đác tha dạy tôi thấy sắc thanh hương vị đều như mộng, tánh biết thì không mất.
216. Già đô sắc ni sam # 佛頂 | Buddhoṣṇīṣa | बुद्धोष्णीष — Già đô sắc ni sam dạy tôi học đạo bằng tâm rỗng rang: không giữ tà niệm, không bỏ lòng từ.
217. 🙏 Ba ra điểm # 光明 | Prabhā | प्रभा — Ba ra điểm nhắc tôi đừng chạy theo bóng cảnh, hãy nhận lại tánh thấy chưa từng mất.
218. Xà kiết rị # 勇猛 | Vīrya | वीर्य — Xà kiết rị là lời trở về: bỏ tà ma trong tâm, nuôi ánh sáng cho mình và người.
219. Ma ha ta ha tát ra # 大威力 | Mahābala | महाबल — Ma ha ta ha tát ra nhắc tôi đừng chạy theo bóng cảnh, hãy nhận lại tánh thấy chưa từng mất.
220. Bột thọ ta ha tát ra # 大菩薩 | Mahābodhisattva | महाबोधिसत्त्व — Bột thọ ta ha tát ra nhắc tôi yêu chúng sinh như yêu phần đang học tỉnh thức trong chính mình.
221. Thất rị sa # 吉祥 | Maṅgala | मङ्गल — Thất rị sa là lời nhắc: kiến tánh không sinh diệt, phiền não chỉ là mây qua trời.
222. Câu tri ta ha tát nê # 無量 | Apramāṇa | अप्रमाण — Câu tri ta ha tát nê giúp tôi quay về tánh biết sáng suốt, thương chúng sinh mà không vướng ngã.
223. Đế lệ a tệ đề thị bà rị đa # 護持 | Pālana | पालन — Đế lệ a tệ đề thị bà rị đa dạy tôi hộ trì pháp trong từng ý nghĩ, từng lời nói và từng việc nhỏ.
224. Tra tra anh ca # 震動 | Kampana | कम्पन — Tra tra anh ca là lời trở về: bỏ tà ma trong tâm, nuôi ánh sáng cho mình và người.
225. Ma ha bạt xà lô đà ra # 大金剛 | Mahāvajra | महावज्र — Ma ha bạt xà lô đà ra nhắc tôi dựng ranh giới thiện lành, bảo hộ chân tâm khỏi tham sân si.
226. Đế rị bồ bà na # 三界 | Triloka | त्रिलोक — Đế rị bồ bà na nhắc tôi thấy các pháp như huyễn, buông chấp để trở về chân tâm.
227. Man trà ra # 道場 | Maṇḍala | मण्डल — Man trà ra nhắc tôi đừng chạy theo bóng cảnh, hãy nhận lại tánh thấy chưa từng mất.
228. Ô hồng # 本源 | Mūla | मूल — Trở về bản nguyên là trở về chân tâm trước khi khởi phân biệt ta người.
229. 🙏 Ta tất đế # 成就 | Siddhi | सिद्धि — Ta tất đế là lời trở về: bỏ tà ma trong tâm, nuôi ánh sáng cho mình và người.
230. Bạt bà đô # 圓滿 | Paripūrṇa | परिपूर्ण — Bạt bà đô dạy tôi lấy tính không làm nền, lấy từ bi làm đường, lấy tu học làm hơi thở.
231. Mạ mạ # 自身 | Ātman | आत्मन् — Mạ mạ đưa tâm trở về chỗ lặng; thấy khổ mà không ghét đời, thấy người mà khởi thương.
232. Ấn thố na mạ mạ tỏa # 成就吉祥 | Siddhi-maṅgala | सिद्धि-मङ्गल — Ấn thố na mạ mạ tỏa là lời nhắc: kiến tánh không sinh diệt, phiền não chỉ là mây qua trời.
233. @@@ Ra xà bà dạ # 國王難 | Rāja-bhaya | राज-भय — Ra xà bà dạ nhắc rằng mọi cảnh đều vô thường, chỉ tâm giác biết cần được nuôi lớn.
234. Chủ ra bạt dạ # 王災 | Rāja-upadrava | राज-उपद्रव — Chủ ra bạt dạ nhắc tôi đừng chạy theo bóng cảnh, hãy nhận lại tánh thấy chưa từng mất.
235. A kỳ ni bà dạ # 火難 | Agni-bhaya | अग्नि-भय — A kỳ ni bà dạ là lời trở về: bỏ tà ma trong tâm, nuôi ánh sáng cho mình và người.
236. Ô đà ca bà dạ # 水難 | Udaka-bhaya | उदक-भय — Ô đà ca bà dạ dạy tôi lấy tính không làm nền, lấy từ bi làm đường, lấy tu học làm hơi thở.
237. Tỳ xa bà dạ # 毒害 | Viṣa | विष — Tỳ xa bà dạ gợi hạnh Địa Tạng: nơi nào còn khổ, nơi ấy còn lời nguyện thương yêu.
238. Xá tát đa ra bà dạ # 兵刃難 | Śastra-bhaya | शस्त्र-भय — Xá tát đa ra bà dạ đưa tâm trở về chỗ lặng; thấy khổ mà không ghét đời, thấy người mà khởi thương.
239. Bà ra chước yết ra bà dạ # 雷電難 | Vidyut-bhaya | विद्युत्-भय — Bà ra chước yết ra bà dạ dạy tôi học đạo bằng tâm rỗng rang: không giữ tà niệm, không bỏ lòng từ.
240. Ðột sắc xoa bà dạ # 惡獸難 | Mṛga-bhaya | मृग-भय — Ðột sắc xoa bà dạ là tiếng chuông cắt đứt tà kiến, đưa tâm về đường thẳng của chánh pháp.
241. 🙏 A xá nể bà dạ # 非時死 | Akālamṛtyu | अकालमृत्यु — A xá nể bà dạ nhắc rằng mọi cảnh đều vô thường, chỉ tâm giác biết cần được nuôi lớn.
242. A ca ra # 不動 | Acala | अचल — A ca ra nhắc tôi nhìn mọi biến cố như bọt nước, rồi trở về chân tâm lặng sáng.
243. Mật rị trụ bà dạ # 免死 | Mṛtyu-mokṣa | मृत्यु-मोक्ष — Mật rị trụ bà dạ dạy tôi lấy tính không làm nền, lấy từ bi làm đường, lấy tu học làm hơi thở.
244. Ðà ra nị bộ di kiếm # 大地震 | Mahābhūmikampa | महाभूमिकम्प — Ðà ra nị bộ di kiếm dạy tôi học đạo bằng tâm rỗng rang: không giữ tà niệm, không bỏ lòng từ.
245. Ba già ba đà bà dạ # 山崩 | Parvata-pāta | पर्वत-पात — Ba già ba đà bà dạ dạy tôi học đạo bằng tâm rỗng rang: không giữ tà niệm, không bỏ lòng từ.
246. Ô ra ca bà đa bà dạ # 暴風 | Vāta-bhaya | वात-भय — Ô ra ca bà đa bà dạ là một bước tu học: phá mê, lìa tà, giữ giới và yêu thương chúng sinh.
247. Lặc xà đàn trà bà dạ # 瘟疫 | Vyādhi | व्याधि — Lặc xà đàn trà bà dạ nhắc tôi đừng chạy theo bóng cảnh, hãy nhận lại tánh thấy chưa từng mất.
248. Na dà bà dạ # 龍難 | Nāga-bhaya | नाग-भय — Na dà bà dạ dạy tôi lấy tính không làm nền, lấy từ bi làm đường, lấy tu học làm hơi thở.
249. Tỳ điều đát bà dạ # 鬼魅 | Bhūta-preta | भूत-प्रेत — Tỳ điều đát bà dạ nhắc tôi tồi phá ác niệm, nhưng vẫn giữ lòng thương với chúng sinh đang mê.
250. Tô ba ra noa bà dạ # 鳥怪 | Pakṣi-bhaya | पक्षि-भय — Tô ba ra noa bà dạ là lời trở về: bỏ tà ma trong tâm, nuôi ánh sáng cho mình và người.
251. Dược xoa yết ra ha # 夜叉執 | Yakṣa-graha | यक्ष-ग्रह — Dược xoa yết ra ha phá ma mà không nuôi hận; chỉ trả tâm về trong sạch và tỉnh thức.
252. Ra xoa tư yết ra ha # 羅剎執 | Rākṣasa-graha | राक्षस-ग्रह — Ra xoa tư yết ra ha nhắc tôi tồi phá ác niệm, nhưng vẫn giữ lòng thương với chúng sinh đang mê.
253. 🙏 Tất rị đa yết ra ha # 餓鬼執 | Preta-graha | प्रेत-ग्रह — Tất rị đa yết ra ha là tiếng chuông cắt đứt tà kiến, đưa tâm về đường thẳng của chánh pháp.
254. Tỳ xá giá yết ra ha # 毘舍遮執 | Piśāca-graha | पिशाच-ग्रह — Tỳ xá giá yết ra ha dạy tôi học đạo bằng tâm rỗng rang: không giữ tà niệm, không bỏ lòng từ.
255. Bô đa yết ra ha # 部多鬼 | Bhūta | भूत — Bô đa yết ra ha là phá tà nơi chính tâm: ma ngoài không đáng sợ bằng mê chấp bên trong.
256. Cưu bàn trà yết ra ha # 鳩槃荼 | Kumbhāṇḍa | कुम्भाण्ड — Cưu bàn trà yết ra ha nhắc tôi đừng chạy theo bóng cảnh, hãy nhận lại tánh thấy chưa từng mất.
257. Bổ đơn na yết ra ha # 富單那 | Pūtana | पूतन — Bổ đơn na yết ra ha đưa tâm trở về chỗ lặng; thấy khổ mà không ghét đời, thấy người mà khởi thương.
258. Ca tra bổ đơn na yết ra ha # 迦吒富單那 | Kaṭapūtana | कटपूतन — Ca tra bổ đơn na yết ra ha nhắc rằng mọi cảnh đều vô thường, chỉ tâm giác biết cần được nuôi lớn.
259. Tất kiền độ yết ra ha # 乾闥婆 | Gandharva | गन्धर्व — Tất kiền độ yết ra ha nhắc tôi thấy các pháp như huyễn, buông chấp để trở về chân tâm.
260. A bá tất ma ra yết ra ha # 癲狂鬼 | Apasmāra-graha | अपस्मार-ग्रह — A bá tất ma ra yết ra ha phá ma mà không nuôi hận; chỉ trả tâm về trong sạch và tỉnh thức.
261. Ô đàn ma đà yết ra ha # 狂亂鬼 | Unmāda-graha | उन्माद-ग्रह — Ô đàn ma đà yết ra ha là tiếng chuông cắt đứt tà kiến, đưa tâm về đường thẳng của chánh pháp.
262. Xa dạ yết ra ha # 夜魅 | Rātri-graha | रात्रि-ग्रह — Xa dạ yết ra ha nhắc tôi đừng chạy theo bóng cảnh, hãy nhận lại tánh thấy chưa từng mất.
263. Hê rị bà đế yết ra ha # 毒鬼 | Viṣa-graha | विष-ग्रह — Hê rị bà đế yết ra ha phá ma mà không nuôi hận; chỉ trả tâm về trong sạch và tỉnh thức.
264. Xả đa ha rị nẩm # 奪精氣 | Ojas-haraṇa | ओजस्-हरण — Xả đa ha rị nẩm dạy tôi lấy tính không làm nền, lấy từ bi làm đường, lấy tu học làm hơi thở.
265. 🙏 Yết bà ha rị nẩm # 奪胎 | Garbha-haraṇa | गर्भ-हरण — Yết bà ha rị nẩm nhắc tôi theo Lăng Nghiêm giữ sáu căn thanh tịnh, không để tà cảnh dẫn đi.
266. Lô địa ra ha rị nẩm # 奪血 | Rakta-haraṇa | रक्त-हरण — Lô địa ra ha rị nẩm là một bước tu học: phá mê, lìa tà, giữ giới và yêu thương chúng sinh.
267. Mang ta ha rị nẩm # 奪肉 | Māṃsa-haraṇa | मांस-हरण — Mang ta ha rị nẩm nhắc rằng mọi cảnh đều vô thường, chỉ tâm giác biết cần được nuôi lớn.
268. Mê đà ha rị nẩm # 奪脂 | Meda-haraṇa | मेद-हरण — Mê đà ha rị nẩm gợi Diệu Pháp Liên Hoa: phương tiện đưa người về chân thật, không bỏ ai lại.
269. Ma xà ha rị nẩm # 奪髓 | Majjā-haraṇa | मज्जा-हरण — Ma xà ha rị nẩm nhắc rằng mọi cảnh đều vô thường, chỉ tâm giác biết cần được nuôi lớn.
270. Xà đa ha rị nữ # 奪命 | Prāṇa-haraṇa | प्राण-हरण — Xà đa ha rị nữ nhắc rằng mọi cảnh đều vô thường, chỉ tâm giác biết cần được nuôi lớn.
271. Thị tỷ đa ha rị nẩm # 奪識 | Vijñāna-haraṇa | विज्ञान-हरण — Thị tỷ đa ha rị nẩm nhắc tôi thấy các pháp như huyễn, buông chấp để trở về chân tâm.
272. Tỳ đa ha rị nẩm # 奪氣 | Prāṇa-haraṇa | प्राण-हरण — Tỳ đa ha rị nẩm nhắc tôi đừng chạy theo bóng cảnh, hãy nhận lại tánh thấy chưa từng mất.
273. Bà đa ha rị nẩm # 奪力 | Bala-haraṇa | बल-हरण — Bà đa ha rị nẩm là lời trở về: bỏ tà ma trong tâm, nuôi ánh sáng cho mình và người.
274. A du giá ha rị nữ # 奪壽 | Āyuḥ-haraṇa | आयुः-हरण — A du giá ha rị nữ là lời nhắc: kiến tánh không sinh diệt, phiền não chỉ là mây qua trời.
275. Chất đa ha rị nữ # 奪心 | Citta-haraṇa | चित्त-हरण — Chất đa ha rị nữ là lời nhắc: kiến tánh không sinh diệt, phiền não chỉ là mây qua trời.
276. Ðế sam tát bệ sam # 彼等一切 | Te sarve | ते सर्वे — Ðế sam tát bệ sam dạy tôi học đạo bằng tâm rỗng rang: không giữ tà niệm, không bỏ lòng từ.
277. 🙏 Tát bà yết ra ha nẩm # 一切執著 | Sarva-graha | सर्व-ग्रह — Mọi chấp trước đều rỗng; tháo một dây trói là thương mình và thương đời hơn.
278. Tỳ đà dạ xà # 破除 | Bheda | भेद — Tỳ đà dạ xà phá ma mà không nuôi hận; chỉ trả tâm về trong sạch và tỉnh thức.
279. Sân đà dạ di # 摧伏 | Abhibhava | अभिभव — Sân đà dạ di nhắc tôi tồi phá ác niệm, nhưng vẫn giữ lòng thương với chúng sinh đang mê.
280. Kê ra dạ di # 消滅 | Kīlana | कीलन — Kê ra dạ di nhắc tôi tồi phá ác niệm, nhưng vẫn giữ lòng thương với chúng sinh đang mê.
281. Ba rị bạt ra giả ca # 遍斷 | Pariccheda | परिच्छेद — Ba rị bạt ra giả ca là phá tà nơi chính tâm: ma ngoài không đáng sợ bằng mê chấp bên trong.
282. Hất rị đởm # 心咒 | Hṛdaya-mantra | हृदय-मन्त्र — Hất rị đởm giúp tôi quay về tánh biết sáng suốt, thương chúng sinh mà không vướng ngã.
283. Tỳ đà dạ xà # 破除 | Bheda | भेद — Tỳ đà dạ xà phá ma mà không nuôi hận; chỉ trả tâm về trong sạch và tỉnh thức.
284. Sân đà dạ di # 摧伏 | Abhibhava | अभिभव — Sân đà dạ di nhắc tôi tồi phá ác niệm, nhưng vẫn giữ lòng thương với chúng sinh đang mê.
285. Kê ra dạ di # 消滅 | Kīlana | कीलन — Kê ra dạ di nhắc tôi tồi phá ác niệm, nhưng vẫn giữ lòng thương với chúng sinh đang mê.
286. Trà diễn ni # 燒盡 | Dahana | दहन — Trà diễn ni nhắc tôi đừng chạy theo bóng cảnh, hãy nhận lại tánh thấy chưa từng mất.
287. Hất rị đởm # 心咒 | Hṛdaya-mantra | हृदय-मन्त्र — Hất rị đởm nhắc tôi đừng chạy theo bóng cảnh, hãy nhận lại tánh thấy chưa từng mất.
288. Tỳ đà dạ xà # 破除 | Bheda | भेद — Tỳ đà dạ xà phá ma mà không nuôi hận; chỉ trả tâm về trong sạch và tỉnh thức.
289. 🙏 Sân đà dạ di # 摧伏 | Abhibhava | अभिभव — Sân đà dạ di nhắc tôi tồi phá ác niệm, nhưng vẫn giữ lòng thương với chúng sinh đang mê.
290. Kê ra dạ di # 消滅 | Kīlana | कीलन — Kê ra dạ di nhắc tôi tồi phá ác niệm, nhưng vẫn giữ lòng thương với chúng sinh đang mê.
291. Ma ha bát du bát đác dạ # 大怖畏 | Mahābhaya | महाभय — Ma ha bát du bát đác dạ nhắc rằng mọi cảnh đều vô thường, chỉ tâm giác biết cần được nuôi lớn.
292. Lô đà ra # 大自在 | Maheśvara | महेश्वर — Lô đà ra nhắc tôi thấy các pháp như huyễn, buông chấp để trở về chân tâm.
293. Hất rị đởm # 心咒 | Hṛdaya-mantra | हृदय-मन्त्र — Hất rị đởm dạy tôi học đạo bằng tâm rỗng rang: không giữ tà niệm, không bỏ lòng từ.
294. Tỳ đà dạ xà # 破除 | Bheda | भेद — Tỳ đà dạ xà là phá tà nơi chính tâm: ma ngoài không đáng sợ bằng mê chấp bên trong.
295. Sân đà dạ di # 摧伏 | Abhibhava | अभिभव — Sân đà dạ di là tiếng chuông cắt đứt tà kiến, đưa tâm về đường thẳng của chánh pháp.
296. Kê ra dạ di # 消滅 | Kīlana | कीलन — Kê ra dạ di là tiếng chuông cắt đứt tà kiến, đưa tâm về đường thẳng của chánh pháp.
297. Na ra dạ noa # 大力天 | Mahābaladeva | महाबलदेव — Na ra dạ noa dạy tôi lấy tính không làm nền, lấy từ bi làm đường, lấy tu học làm hơi thở.
298. Hất rị đởm # 心咒 | Hṛdaya-mantra | हृदय-मन्त्र — Hất rị đởm là lời trở về: bỏ tà ma trong tâm, nuôi ánh sáng cho mình và người.
299. Tỳ đà dạ xà # 破除 | Bheda | भेद — Tỳ đà dạ xà là phá tà nơi chính tâm: ma ngoài không đáng sợ bằng mê chấp bên trong.
300. Sân đà dạ di # 摧伏 | Abhibhava | अभिभव — Sân đà dạ di là tiếng chuông cắt đứt tà kiến, đưa tâm về đường thẳng của chánh pháp.
301. 🙏 Kê ra dạ di # 消滅 | Kīlana | कीलन — Kê ra dạ di là tiếng chuông cắt đứt tà kiến, đưa tâm về đường thẳng của chánh pháp.
302. Ðát đỏa dà lô trà tây # 金翅鳥 | Garuḍa | गरुड — Ðát đỏa dà lô trà tây dạy tôi học đạo bằng tâm rỗng rang: không giữ tà niệm, không bỏ lòng từ.
303. Hất rị đởm # 心咒 | Hṛdaya-mantra | हृदय-मन्त्र — Hất rị đởm dạy tôi học đạo bằng tâm rỗng rang: không giữ tà niệm, không bỏ lòng từ.
304. Tỳ đà dạ xà # 破除 | Bheda | भेद — Tỳ đà dạ xà là phá tà nơi chính tâm: ma ngoài không đáng sợ bằng mê chấp bên trong.
305. Sân đà dạ di # 摧伏 | Abhibhava | अभिभव — Sân đà dạ di là tiếng chuông cắt đứt tà kiến, đưa tâm về đường thẳng của chánh pháp.
306. Kê ra dạ di # 消滅 | Kīlana | कीलन — Kê ra dạ di là tiếng chuông cắt đứt tà kiến, đưa tâm về đường thẳng của chánh pháp.
307. Ma ha ca ra # 大黑天 | Mahākāla | महाकाल — Ma ha ca ra là lời trở về: bỏ tà ma trong tâm, nuôi ánh sáng cho mình và người.
308. Ma đác rị già noa # 天母 | Devamātṛ | देवमातृ — Ma đác rị già noa là một bước tu học: phá mê, lìa tà, giữ giới và yêu thương chúng sinh.
309. Hất rị đởm # 心咒 | Hṛdaya-mantra | हृदय-मन्त्र — Hất rị đởm dạy tôi lấy tính không làm nền, lấy từ bi làm đường, lấy tu học làm hơi thở.
310. Tỳ đà dạ xà # 破除 | Bheda | भेद — Tỳ đà dạ xà nhắc tôi tồi phá ác niệm, nhưng vẫn giữ lòng thương với chúng sinh đang mê.
311. Sân đà dạ di # 摧伏 | Abhibhava | अभिभव — Sân đà dạ di dạy tôi hàng phục sân hận, tiêu diệt bóng tối bằng ánh sáng tu học.
